Date,User (hashed),Status,Order (hashed),Item (Hashed),Total
3/10/2022,ac4aba4a1cf08a71ddd53d5002e4559fab4470b8,Platinum,68368e8d9abd93e4ff8cd8af83cdfbf0670db4e4,471c1e9a711119cc04a1e1a5e11563c171cba82f,16.68
3/10/2022,ac4aba4a1cf08a71ddd53d5002e4559fab4470b8,Platinum,f7298b1e91bfa5e344247c6f3e548d61c1650f8c,feb37b89ca7b960b4ee604864221539b98caf11b,22.97
3/10/2022,ac4aba4a1cf08a71ddd53d5002e4559fab4470b8,Platinum,e343fca7f5bec93392bf8c8ad73f5f09bf9ff067,d73de694fd21ff5f1d1dfa693688da1085e161db,16.52
3/10/2022,a79f0046637c2404540d3fa83470c18578338233,Platinum,f1fd498cb5666d51866295e5020aa811c98fd253,3eecb6f5dddc96c976e559685050b69649256bc1,16.02
3/10/2022,ac4aba4a1cf08a71ddd53d5002e4559fab4470b8,Platinum,68368e8d9abd93e4ff8cd8af83cdfbf0670db4e4,5e1bcba61a7b3eeb5616a17bc7bbf6dac639014a,11.55
3/10/2022,ac4aba4a1cf08a71ddd53d5002e4559fab4470b8,Platinum,e9ce877e295c218e0dd12aeef30f0350ff48f3d3,471c1e9a711119cc04a1e1a5e11563c171cba82f,16.41
3/10/2022,ac4aba4a1cf08a71ddd53d5002e4559fab4470b8,Platinum,e9ce877e295c218e0dd12aeef30f0350ff48f3d3,ede36ee66ad94463124e95c321234115dec3d701,6.3
3/10/2022,a656b8271fc926b802b2489e5daadd209384408e,Gold,8504515e8a89648ddc3840569293e488afbcceef,ffeeab6904f6167da0a6ebb1d3bd9eef5defd81d,10.98
3/10/2022,1e46ec5c31a02cf1951c13be87f9a398f92ae160,Blue,6a41ed073f600da593c02ff179aea329609342be,ffeeab6904f6167da0a6ebb1d3bd9eef5defd81d,10.96
3/10/2022,1e46ec5c31a02cf1951c13be87f9a398f92ae160,Blue,9808b5b9a59cd00533fe3365d7a5db8438e13e9b,f3b39de4efe14a40a9131db19e323cefa1ac1531,10.96
3/10/2022,ac4aba4a1cf08a71ddd53d5002e4559fab4470b8,Platinum,533285260ba43d068fa2f6adb9bf5cabf92e0953,5e1bcba61a7b3eeb5616a17bc7bbf6dac639014a,10.96
3/10/2022,ac4aba4a1cf08a71ddd53d5002e4559fab4470b8,Platinum,741e7bae3d24ca7a6303db5840a0c715239af195,a37088dbac118e66b68b4a5cfedda8cd5fdec5d1,32.23
3/10/2022,8ba30c8e54339772ee51df86e6a0e51c1789b5d5,Blue,115cefdb2eb7822b609b6b97e65b0e4ccc9c79e3,471c1e9a711119cc04a1e1a5e11563c171cba82f,32.23
3/17/2022,a62cc1befd078d5c24f9a8ab0afd79e50b31e19e,Blue,fdb41a5662b8d07c43fc65510ac3cba868b10909,1632ec491edfb060dd22dee124bdb9b61d849398,1.58
3/17/2022,4255c96cc8f759ab1bf1d0b198c163cb891a2355,Blue,f573977e3db718e7cb7d9b4f78d27be0199b9d61,59b4d972ca1bc91f0c837870ef8018aab5cf4b9b,12.26
3/17/2022,f34f5b9b7568cc4db3849e260b384f04264fbefb,Blue,2b270eb79e0942053ffcd64ce721f3bc391a30c2,59b4d972ca1bc91f0c837870ef8018aab5cf4b9b,12.26
3/17/2022,923085e7b4621795fed59ade9a7789b0409ad8a3,Blue,ff4a5eb27aa15fe599c35f200be81f1f4df2fa18,59b4d972ca1bc91f0c837870ef8018aab5cf4b9b,24.81
3/17/2022,f6e8b2e92f273ce9284a14308095c89df54345a0,Blue,98453a1a15a02bb76400aee60e927f3b955d6029,59b4d972ca1bc91f0c837870ef8018aab5cf4b9b,12.26
3/18/2022,923085e7b4621795fed59ade9a7789b0409ad8a3,Blue,87687b451311c74c458da3fbadd403183f2736f5,59b4d972ca1bc91f0c837870ef8018aab5cf4b9b,12.47
3/18/2022,8f5bca7e385f44852457d10a5e01fdcd3ee509ee,Gold,7c938e6bff77888ace2af1e7b3edddca504f3502,59b4d972ca1bc91f0c837870ef8018aab5cf4b9b,37.7
3/18/2022,923085e7b4621795fed59ade9a7789b0409ad8a3,Blue,33ac83d280d07d5baf191978704ae96f67ee4b7d,59b4d972ca1bc91f0c837870ef8018aab5cf4b9b,38
3/19/2022,d6f7b4bb564fbf3e0337049c313c456f0c78ea7d,Blue,dbcdad5c9b015f9b9a5a113f15fe9b647bf3c747,f0a7768f881e98ec8e8b6a46707cd19a87b534c7,20.99
3/19/2022,2a94b069ef071afcc5c68eb8bbfde184e1dd06fa,Blue,53c8ef5901b2a5b58d852388a5cc7c892f10e2c3,45d86d00b9617c9c8e82caa507fb718473c44e09,22.24
3/19/2022,34d6a4031e30c348229717c1a3702d07ce1d6f03,Blue,cf96ad0176ccc1f2684013d8e6f3ec624980cc9f,0ab73ab5f1ffe95b96a02d91a5831ebb860ac9ab,10.97
3/19/2022,40bfefcd2d6bce0b5b124db940ed4b13357aa007,Blue,33d6c618296bb0129fe1de9f6a73a361622d4658,207a0d0d7b573a3534c1eab4b340c0760c58dd00,19.82
3/19/2022,40bfefcd2d6bce0b5b124db940ed4b13357aa007,Blue,33d6c618296bb0129fe1de9f6a73a361622d4658,45d86d00b9617c9c8e82caa507fb718473c44e09,10.49
3/19/2022,40bfefcd2d6bce0b5b124db940ed4b13357aa007,Blue,33d6c618296bb0129fe1de9f6a73a361622d4658,ea6dd44b9f148d3af08f234a71b988320e940c6b,39.63
3/19/2022,d6f7b4bb564fbf3e0337049c313c456f0c78ea7d,Blue,acc273c2610b83279db65838915833b580813757,ea6dd44b9f148d3af08f234a71b988320e940c6b,19.93
3/19/2022,dcc2a595520cf89857fb5a7bdda46842da1f31e6,Blue,0468555e7b83e77af525823e213c8525527e2caf,ea6dd44b9f148d3af08f234a71b988320e940c6b,20.99
3/19/2022,fc4aa07991228aa506ba4196c17e5f04f1d803a8,Blue,a1a2b6ee05766b419380ad7c8a1fa6a210f914f8,f0a7768f881e98ec8e8b6a46707cd19a87b534c7,20.99
3/19/2022,f2af15c15f11c68164496f2cdf676223bc60ce03,Blue,aa6780753c5a9cdd1cabdcb13515452f62ced538,fc4cb4a040d229fad34344b0637cc22df2feab77,38.15
3/19/2022,35a7f2d0c16583d727f5a58a9894d9720eca21f7,Blue,50452d9c6ee926e8b80a7471e201e289e83e65c9,1e62a63df09feffdf283bede2c7a35173a7aecdb,10.97
3/19/2022,41fd01d83889c3bf55bfddb4b09d80b1d4d0dbaa,Blue,ae6c88ef5aae551b45d37d4cb53e265be0d6d1b3,0ab73ab5f1ffe95b96a02d91a5831ebb860ac9ab,10.34
3/19/2022,34d6a4031e30c348229717c1a3702d07ce1d6f03,Blue,3d4ded6fa0145c2c9f8e9b237d761c59b64145ab,45d86d00b9617c9c8e82caa507fb718473c44e09,10.97
3/19/2022,042c432d5a6459c249fdd93dc166d6c1a207ab9d,Blue,60d785eb24943ee5e7edaf53003a498547b16d8c,2fb57bce70574f695d96b0a8ae9688b3acd4adac,19.27
3/19/2022,042c432d5a6459c249fdd93dc166d6c1a207ab9d,Blue,60d785eb24943ee5e7edaf53003a498547b16d8c,45d86d00b9617c9c8e82caa507fb718473c44e09,10.2
3/19/2022,d6f7b4bb564fbf3e0337049c313c456f0c78ea7d,Blue,58da9b522ee90b26903528f39cb233f5a1851148,45d86d00b9617c9c8e82caa507fb718473c44e09,10.34
3/19/2022,c7879b40b2181a91a0e9341c6c8274d0f23eacf1,Blue,29563bb4561705425ca646af98117670dd1889ee,f0a7768f881e98ec8e8b6a46707cd19a87b534c7,21.09
3/19/2022,c7879b40b2181a91a0e9341c6c8274d0f23eacf1,Blue,29563bb4561705425ca646af98117670dd1889ee,45d86d00b9617c9c8e82caa507fb718473c44e09,11.17
3/19/2022,0c29a26a74d925f1c3b1d739a18c00b39077dcf1,Blue,cac769cb016a8fd0f6797e9b7f8db113283853fc,ccf1e30769f95d1542790a068cd7f9e6019a3b76,17.38
3/19/2022,0c29a26a74d925f1c3b1d739a18c00b39077dcf1,Blue,cac769cb016a8fd0f6797e9b7f8db113283853fc,af576cdb0f0d7df3a2d29acd562aea4c28292926,17.38
3/19/2022,0c29a26a74d925f1c3b1d739a18c00b39077dcf1,Blue,cac769cb016a8fd0f6797e9b7f8db113283853fc,45d86d00b9617c9c8e82caa507fb718473c44e09,11.2
3/19/2022,2a94b069ef071afcc5c68eb8bbfde184e1dd06fa,Blue,d7d620454ace68e15cdfaebbc2e7ecdbac3347ba,45d86d00b9617c9c8e82caa507fb718473c44e09,22.24
3/19/2022,fc4aa07991228aa506ba4196c17e5f04f1d803a8,Blue,3b0fc793ce3d6cd3c641a391f2e590c73df0aa52,019e063c56b64ebf49dbe23a11f667519fc2db82,20.99
3/19/2022,35a7f2d0c16583d727f5a58a9894d9720eca21f7,Blue,65f08b74601ed35fa6099908aa5faef9be0d8280,45d86d00b9617c9c8e82caa507fb718473c44e09,10.97
3/19/2022,29d3dbc15d53a2a21823f8be1883945a84ce56e5,Blue,e4ee32caa8b60e571652618608dd61365de48a96,45d86d00b9617c9c8e82caa507fb718473c44e09,10.97
3/19/2022,0f338b158a6d9cd30d4f971a605c405b899a011c,Blue,341252250e3556abc4807ce0a406e4e545db4ac5,0fbe989933729f3c57e4f52d3aa9ca7e78053177,21.21
3/19/2022,0f338b158a6d9cd30d4f971a605c405b899a011c,Blue,341252250e3556abc4807ce0a406e4e545db4ac5,939a3df986a3dfa57c0174f18750a7acb1e7539b,21.21
3/19/2022,0f338b158a6d9cd30d4f971a605c405b899a011c,Blue,341252250e3556abc4807ce0a406e4e545db4ac5,fc4cb4a040d229fad34344b0637cc22df2feab77,21.21
3/19/2022,0f338b158a6d9cd30d4f971a605c405b899a011c,Blue,341252250e3556abc4807ce0a406e4e545db4ac5,207a0d0d7b573a3534c1eab4b340c0760c58dd00,21.21
3/19/2022,a3f26c3b3f1af1dc103ee90827a3f7e4b50dff31,Blue,150bf8d441eab32a0aeada2717e45a3ca34f5c9d,c6a74a9b6f7e723f4c6f247a8568afdabc606936,13.47
3/19/2022,4ec36fe0dabc2e836ab2fc31b796e3c9b52e009c,Blue,048cc425862555d01481793b9af4c2977fa559be,0ab73ab5f1ffe95b96a02d91a5831ebb860ac9ab,22.43
3/19/2022,4ec36fe0dabc2e836ab2fc31b796e3c9b52e009c,Blue,048cc425862555d01481793b9af4c2977fa559be,ea6dd44b9f148d3af08f234a71b988320e940c6b,21.18
3/19/2022,4ec36fe0dabc2e836ab2fc31b796e3c9b52e009c,Blue,048cc425862555d01481793b9af4c2977fa559be,207a0d0d7b573a3534c1eab4b340c0760c58dd00,21.18
3/19/2022,042c432d5a6459c249fdd93dc166d6c1a207ab9d,Blue,3cef20c2270225a4401e69b914bd46af8e508af5,0fbe989933729f3c57e4f52d3aa9ca7e78053177,18.99
3/19/2022,042c432d5a6459c249fdd93dc166d6c1a207ab9d,Blue,3cef20c2270225a4401e69b914bd46af8e508af5,f0a7768f881e98ec8e8b6a46707cd19a87b534c7,18.99
3/19/2022,80ebc5f91aadc15ce211841a80dba75bdd580e01,Blue,ea73afdb1b0b312f9020993f06184356a3b76793,45d86d00b9617c9c8e82caa507fb718473c44e09,10.97
3/19/2022,c1a81c3a581d057c283423b21c95c72e738b2b80,Blue,ae5138c6c30f02e294354443c5a368f3681ff3b5,6a5e1761ceceee85d0ae99896a84e79566320b15,11.34
3/19/2022,56e784cfd8d4750338a0902544ab8cf4cdedbb8c,Blue,8518afcbb92eefff19a9776f299f05955cfc61fd,c6a74a9b6f7e723f4c6f247a8568afdabc606936,60.73
3/19/2022,c1a81c3a581d057c283423b21c95c72e738b2b80,Blue,ae5138c6c30f02e294354443c5a368f3681ff3b5,5ba504a3587bdfaee69ee780aeb5daf622b0ca5a,16.34
3/19/2022,ed578c0f023c6dfe0f8352b4c5b6d2414a06ffef,Blue,30fa6a46630c6234dbbdd7486bc7f3a698313b57,45d86d00b9617c9c8e82caa507fb718473c44e09,10.97
3/19/2022,34d6a4031e30c348229717c1a3702d07ce1d6f03,Blue,92ff37097ae4bfe1370fcc5e324efbbcf5b51d55,ea6dd44b9f148d3af08f234a71b988320e940c6b,36.87
3/19/2022,3c2116a4c08dfc44a4f55e76fd80ec4603e17ab7,Blue,74a1d5ac61d8a959ff91f8c976c9c151f5827f82,0ab73ab5f1ffe95b96a02d91a5831ebb860ac9ab,22.24
3/19/2022,c7879b40b2181a91a0e9341c6c8274d0f23eacf1,Blue,9329339fd5a5a74939a426e25614775e353a141f,939a3df986a3dfa57c0174f18750a7acb1e7539b,21.09
3/19/2022,c7879b40b2181a91a0e9341c6c8274d0f23eacf1,Blue,9329339fd5a5a74939a426e25614775e353a141f,6a5e1761ceceee85d0ae99896a84e79566320b15,11.17
3/19/2022,dcc2a595520cf89857fb5a7bdda46842da1f31e6,Blue,1422425dbe95f4c0ff9143a1221cf721e09fd874,ea6dd44b9f148d3af08f234a71b988320e940c6b,42.26
3/19/2022,2a94b069ef071afcc5c68eb8bbfde184e1dd06fa,Blue,5ae1bb2801d8b3b85e66d2a44713b82055cb9c77,45d86d00b9617c9c8e82caa507fb718473c44e09,22.24
3/19/2022,d6f7b4bb564fbf3e0337049c313c456f0c78ea7d,Blue,1b9d2d659cf9ac23f1a74e135a827c5afeca97e1,45d86d00b9617c9c8e82caa507fb718473c44e09,10.34
3/19/2022,e16982e26e7e6f98c4fe7d0c209f5a921ca2005c,Blue,2304512ae9840ccf01fbf89f2aa270a1c40b2eb2,45d86d00b9617c9c8e82caa507fb718473c44e09,22.39
3/19/2022,e16982e26e7e6f98c4fe7d0c209f5a921ca2005c,Blue,2304512ae9840ccf01fbf89f2aa270a1c40b2eb2,c6a74a9b6f7e723f4c6f247a8568afdabc606936,14.91
3/19/2022,636e637f05db3ea015be5f193928634fa56376a5,Blue,731f46251d0dd017b26df810ee09de9a72741086,45d86d00b9617c9c8e82caa507fb718473c44e09,10.34
3/19/2022,19468f24c648821a938101de235596dc25c34c6d,Blue,d9bcf4f909c960c97dd42c67b45f95472838b36a,ccf1e30769f95d1542790a068cd7f9e6019a3b76,17.2
3/19/2022,c1a81c3a581d057c283423b21c95c72e738b2b80,Blue,0acd852a8c307eeda539668747ab694c1e421fbd,79d7a52a6048b2e47ede12fa22c9053155a4d765,17.49
3/19/2022,f7685447fa3b3d65056c2558d3ed73f11cf3de45,Blue,12d09a17f3a3ea31515e5cb64302a1808a4c8a78,79d00ef6b38284fce843e12440b78c7b81c22e64,11.38
3/19/2022,21d38602e1a824031947bc253004fd085d63273f,Blue,c81ef05369d380df6c12564e131ba23b685154d4,ea6dd44b9f148d3af08f234a71b988320e940c6b,42.26
3/19/2022,0f338b158a6d9cd30d4f971a605c405b899a011c,Blue,e5eaec4aac9bfe45b0b1138bbd690c4c30964529,0fbe989933729f3c57e4f52d3aa9ca7e78053177,42.26
3/19/2022,ecbb84fa6954dd12559b6dc0f0db02935318ef49,Blue,b630680bfd687393ac54f4d596c7677220aae9cf,12bf1fc7efaee8d698768b5c184e8931db2703c2,22.33
3/19/2022,a10f5657f7916dc773c76eaa162f6788251d91ab,Blue,d745b88e225bc278a0876d739baac3c1f8466ad6,c6a74a9b6f7e723f4c6f247a8568afdabc606936,14.88
3/19/2022,bd642d30b4e1567246cef02a86623f99ceeaa328,Blue,7f7881bf4262510026c71433fde8d8b6e1f963a3,45d86d00b9617c9c8e82caa507fb718473c44e09,10.97
3/19/2022,54c3e08f57cd23dd34a1477d93c8cc2345702f2f,Blue,714dfb7686345cb940ee97a63ab7c7b54ff4684a,1e62a63df09feffdf283bede2c7a35173a7aecdb,11.14
3/19/2022,ecbb84fa6954dd12559b6dc0f0db02935318ef49,Blue,b630680bfd687393ac54f4d596c7677220aae9cf,af576cdb0f0d7df3a2d29acd562aea4c28292926,17.36
3/19/2022,a3f26c3b3f1af1dc103ee90827a3f7e4b50dff31,Blue,0cfc712b12aa257bb09d1e8aac1fd82061c94d5f,c6a74a9b6f7e723f4c6f247a8568afdabc606936,13.47
3/19/2022,a10f5657f7916dc773c76eaa162f6788251d91ab,Blue,d745b88e225bc278a0876d739baac3c1f8466ad6,6a5e1761ceceee85d0ae99896a84e79566320b15,11.18
3/19/2022,e16982e26e7e6f98c4fe7d0c209f5a921ca2005c,Blue,2304512ae9840ccf01fbf89f2aa270a1c40b2eb2,6a5e1761ceceee85d0ae99896a84e79566320b15,11.2
3/19/2022,54c3e08f57cd23dd34a1477d93c8cc2345702f2f,Blue,714dfb7686345cb940ee97a63ab7c7b54ff4684a,79d00ef6b38284fce843e12440b78c7b81c22e64,12.34
3/19/2022,1ee7285f82ba818223ed83372084125a2b0024a0,Blue,79ef960558657a4a987656460778885a05f2ed45,1e62a63df09feffdf283bede2c7a35173a7aecdb,11.22
3/19/2022,1ee7285f82ba818223ed83372084125a2b0024a0,Blue,79ef960558657a4a987656460778885a05f2ed45,45d86d00b9617c9c8e82caa507fb718473c44e09,11.22
3/19/2022,1ee7285f82ba818223ed83372084125a2b0024a0,Blue,79ef960558657a4a987656460778885a05f2ed45,f0a7768f881e98ec8e8b6a46707cd19a87b534c7,21.18
3/19/2022,1ee7285f82ba818223ed83372084125a2b0024a0,Blue,79ef960558657a4a987656460778885a05f2ed45,fc4cb4a040d229fad34344b0637cc22df2feab77,21.18
3/19/2022,09d960dd183b12e6fef9e2fc9f09aaf1c508166d,Blue,e7925cc2fd2a3ce71edb081a0ee093740e8066c5,c6a74a9b6f7e723f4c6f247a8568afdabc606936,14.71
3/19/2022,29d3dbc15d53a2a21823f8be1883945a84ce56e5,Blue,dc2e972c65fd724c9067042ebcab4192ca9d113d,45d86d00b9617c9c8e82caa507fb718473c44e09,10.97
3/19/2022,80ebc5f91aadc15ce211841a80dba75bdd580e01,Blue,df009b96a3798a8c9136cd88987184d3960e47fb,af576cdb0f0d7df3a2d29acd562aea4c28292926,17.31
3/19/2022,80ebc5f91aadc15ce211841a80dba75bdd580e01,Blue,df009b96a3798a8c9136cd88987184d3960e47fb,45d86d00b9617c9c8e82caa507fb718473c44e09,11.15
3/19/2022,074e466587d6459da30eef6f7b9048945ec07fd2,Blue,642d217ce48cc84c7cf14165812b6c80e6bf0bfd,c6a74a9b6f7e723f4c6f247a8568afdabc606936,14.38
3/19/2022,074e466587d6459da30eef6f7b9048945ec07fd2,Blue,642d217ce48cc84c7cf14165812b6c80e6bf0bfd,6a5e1761ceceee85d0ae99896a84e79566320b15,10.8
3/19/2022,c7879b40b2181a91a0e9341c6c8274d0f23eacf1,Blue,fe9f4b3083a8f1c3178c34806492fca3d152fa07,9403f57a9dda4ebfa2acaad765f060835becdf9d,34.78
3/19/2022,2a94b069ef071afcc5c68eb8bbfde184e1dd06fa,Blue,379c382aedcb022a3e6ffbb5fe542b287c462ed9,45d86d00b9617c9c8e82caa507fb718473c44e09,22.24
3/19/2022,ecbb84fa6954dd12559b6dc0f0db02935318ef49,Blue,da514f8ada50c9929461ff99ace8709b93b2c10f,12bf1fc7efaee8d698768b5c184e8931db2703c2,22.19
3/19/2022,03ffc18ac6e2e31f551e05327fcbd16ea901d41d,Blue,6c76f347fe65662c321afc122e5f7b415c159198,45d86d00b9617c9c8e82caa507fb718473c44e09,44.76
3/19/2022,21d38602e1a824031947bc253004fd085d63273f,Blue,5b7bec0a024f77a0bd6b959984b96bc9aab057ff,1fdcf1f1504f16d00d12f7a37357f1c429965149,11.2
3/19/2022,21d38602e1a824031947bc253004fd085d63273f,Blue,5b7bec0a024f77a0bd6b959984b96bc9aab057ff,450e2e9323e4f8e3377dc7c66ddbeae0c378a5dd,32.29
3/19/2022,93db2c7e7184bffc1f58d80105596c07b2aefa03,Blue,cf3b7f317ef25f297ae47229cefca5ae7bf35208,c6a74a9b6f7e723f4c6f247a8568afdabc606936,14.71
3/19/2022,bfca5884cd2165f46df9b356b52b55f8c6dc17d4,Blue,39f1a2e1ce272f9f8af66eca0923c8b855cd4cf0,1e62a63df09feffdf283bede2c7a35173a7aecdb,20.97
3/19/2022,0c29a26a74d925f1c3b1d739a18c00b39077dcf1,Blue,c4008b8e46d1b897d1bde94ef3fa93cf4668040c,45d86d00b9617c9c8e82caa507fb718473c44e09,10.97
3/19/2022,a10f5657f7916dc773c76eaa162f6788251d91ab,Blue,2565458c224f1acffbc0c10e5acf9d075d448831,0ab73ab5f1ffe95b96a02d91a5831ebb860ac9ab,10.82
3/19/2022,e4ce0cbc9f4738b15d2c4938e3850b18cd59dbfe,Blue,419b4377d9f82ab2124937237b1f4c4ea2cdd03e,c6a74a9b6f7e723f4c6f247a8568afdabc606936,29.72
3/19/2022,e16982e26e7e6f98c4fe7d0c209f5a921ca2005c,Blue,893b8f5873b29aa7e4549e3c0ae2abfc186360cf,0ab73ab5f1ffe95b96a02d91a5831ebb860ac9ab,22.24
3/19/2022,bd642d30b4e1567246cef02a86623f99ceeaa328,Blue,697ce78c17dda072f87370760067fd427f6bc078,ad03226970e4b9d3aabeb2ded6b01894a3cb8627,24.73
3/19/2022,34d6a4031e30c348229717c1a3702d07ce1d6f03,Blue,333f0a5fd52bd4188a2f558f062cb7b02819dea6,45d86d00b9617c9c8e82caa507fb718473c44e09,10.34
3/19/2022,e16982e26e7e6f98c4fe7d0c209f5a921ca2005c,Blue,d253f596e415d909d488fbd0e0cb6c8d4053795b,ea6dd44b9f148d3af08f234a71b988320e940c6b,42.26
3/19/2022,f2af15c15f11c68164496f2cdf676223bc60ce03,Blue,4dbb4a33383955b741b70368be3b34734570ab58,9281fddece3f54b8f16d99fc184dcd73fec7d695,40.05
3/19/2022,ed578c0f023c6dfe0f8352b4c5b6d2414a06ffef,Blue,a202637082c64517bdad75c991c9f655ebbe2a24,45d86d00b9617c9c8e82caa507fb718473c44e09,10.97
3/19/2022,0c29a26a74d925f1c3b1d739a18c00b39077dcf1,Blue,0dc60170e0395aa134e5da1eb9a7a2826e664af7,45d86d00b9617c9c8e82caa507fb718473c44e09,10.97
3/19/2022,35a7f2d0c16583d727f5a58a9894d9720eca21f7,Blue,3a45a9d1509acb71e791ac4154c039f60e356a57,45d86d00b9617c9c8e82caa507fb718473c44e09,10.97
3/19/2022,3c2116a4c08dfc44a4f55e76fd80ec4603e17ab7,Blue,07f2b1109414c0831f4cd86e10d46f3bae106766,6a5e1761ceceee85d0ae99896a84e79566320b15,10.96
3/19/2022,fe46dae13ef7cb7ee9ef3e9fc61815eb95ad1f96,Blue,6a88f777317ae8098f1ed31a4d2cb6bc39116377,1e62a63df09feffdf283bede2c7a35173a7aecdb,10.97
3/19/2022,f7685447fa3b3d65056c2558d3ed73f11cf3de45,Blue,407e8d820510904a9399955e1b93e2a023b82bb6,1e62a63df09feffdf283bede2c7a35173a7aecdb,22.24
3/19/2022,a582175db97c9007d2a5ba64330e623a658865bd,Blue,f0b096d38ce07eb383b840098a8cb1a2e8f8cf2a,1e62a63df09feffdf283bede2c7a35173a7aecdb,22.24
3/19/2022,3c2116a4c08dfc44a4f55e76fd80ec4603e17ab7,Blue,07f2b1109414c0831f4cd86e10d46f3bae106766,b9cb35b062df52e0905843d55969ff81987afdd3,20.7
3/19/2022,9333294a89edc4823ecd1bb3528a206e3a238e54,Blue,28d2fbbb64628a438afbf59db1a0a1443c26d582,45d86d00b9617c9c8e82caa507fb718473c44e09,22.24
3/19/2022,a3f26c3b3f1af1dc103ee90827a3f7e4b50dff31,Blue,41ba18cc2d454365c5bd310e545e715e6ad74917,c6a74a9b6f7e723f4c6f247a8568afdabc606936,13.47
3/19/2022,636e637f05db3ea015be5f193928634fa56376a5,Blue,2653c77ab9f59d4f5519ddd414a8db3bf7286cea,45d86d00b9617c9c8e82caa507fb718473c44e09,10.34
3/19/2022,0f338b158a6d9cd30d4f971a605c405b899a011c,Blue,87ea9dd7b89c3c78d235cc2a32c850875b84c2b8,0fbe989933729f3c57e4f52d3aa9ca7e78053177,42.26
3/19/2022,4995e5c211077fb2bc4d59c7dc45f1d812f9d90c,Blue,5c26ce662719f6511bdf8faa256977994e4bfe69,1e62a63df09feffdf283bede2c7a35173a7aecdb,10.97
3/19/2022,e16982e26e7e6f98c4fe7d0c209f5a921ca2005c,Blue,116d55933a29241cc0b6fb3d57ec8fa486857195,c6a74a9b6f7e723f4c6f247a8568afdabc606936,14.71
3/19/2022,dcc2a595520cf89857fb5a7bdda46842da1f31e6,Blue,f6d07e9a9ce5dd604680a9ff61e618fa6c8805bf,ea6dd44b9f148d3af08f234a71b988320e940c6b,20.99
3/19/2022,41fd01d83889c3bf55bfddb4b09d80b1d4d0dbaa,Blue,c6f24ef8cca3d15bb770d09bea1192103dff87cf,6a5e1761ceceee85d0ae99896a84e79566320b15,10.34
3/19/2022,aaa7e95751a1c4ccd34863ecb281f49fb8bce89b,Blue,bbc7be38243af976e971cbc3f6a09196ed624f4c,18557922bc75db545a068661fa8de7dc56aa3877,32.21
